Date,Close,High,Low,Open,Volume
1/4/2016,105.35,105.368,102,102.61,67649387
1/5/2016,102.71,105.85,102.41,105.75,55790992
1/6/2016,100.7,102.37,99.87,100.56,68457388
1/7/2016,96.45,100.13,96.43,98.68,81094428
1/8/2016,96.96,99.11,96.76,98.55,70798016
1/11/2016,98.53,99.06,97.34,98.97,49739377
1/12/2016,99.96,100.69,98.8399,100.55,49154227
1/13/2016,97.39,101.19,97.3,100.32,62439631
1/14/2016,99.52,100.48,95.74,97.96,63170127
1/15/2016,97.13,97.71,95.36,96.2,79833891
1/19/2016,96.66,98.65,95.5,98.41,53087747
1/20/2016,96.79,98.1897,93.42,95.1,72334416
1/21/2016,96.3,97.88,94.94,97.06,52161463
1/22/2016,101.42,101.46,98.37,98.63,65800467
1/25/2016,99.44,101.53,99.21,101.52,51794525
1/26/2016,99.99,100.88,98.07,99.93,75077002
1/27/2016,93.42,96.6289,93.34,96.04,133369674
1/28/2016,94.09,94.52,92.39,93.79,55678825
1/29/2016,97.34,97.34,94.35,94.79,64416504
2/1/2016,96.43,96.71,95.4,96.47,40943541
2/2/2016,94.48,96.04,94.28,95.42,37357215
2/3/2016,96.35,96.84,94.08,95,45964294
2/4/2016,96.6,97.33,95.19,95.86,46471652
2/5/2016,94.02,96.92,93.69,96.52,46418064
2/8/2016,95.01,95.7,93.04,93.13,54021375
2/9/2016,94.99,95.94,93.93,94.29,44331195
2/10/2016,94.27,96.35,94.1,95.92,42343601
2/11/2016,93.7,94.72,92.59,93.79,50074711
2/12/2016,93.99,94.5,93.01,94.19,40351381
2/16/2016,96.64,96.85,94.61,95.02,49057916
2/17/2016,98.12,98.21,96.15,96.67,44863243
2/18/2016,96.26,98.89,96.091,98.84,39020983
2/19/2016,96.04,96.7599,95.8,96,35374173
2/22/2016,96.88,96.9,95.92,96.31,34280758
2/23/2016,94.69,96.5,94.55,96.4,31942633
2/24/2016,96.1,96.38,93.32,93.98,36255745
2/25/2016,96.76,96.76,95.25,96.05,27582659
2/26/2016,96.91,98.0237,96.58,97.2,28991131
2/29/2016,96.69,98.23,96.65,96.86,35216277
3/1/2016,100.53,100.77,97.42,97.65,50407147
3/2/2016,100.75,100.89,99.64,100.51,33169560
3/3/2016,101.5,101.7099,100.45,100.58,36955742
3/4/2016,103.01,103.75,101.37,102.37,46055100
3/7/2016,101.87,102.83,100.96,102.39,35915810
3/8/2016,101.03,101.76,100.4,100.78,31182194
3/9/2016,101.12,101.58,100.27,101.31,27201683
3/10/2016,101.17,102.24,100.15,101.41,33513577
